owner_id,owner_ref,source_csv,source_json,source_csv_sha256,source_json_sha256,native_namespace,native_dispatch,cli_commands,id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions,question
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""central.doctor"",""central.init"",""central.root""]",cap.central.root,capability,,,,[],A person needs a durable place for personal source and ordinary projects that tools can find consistently.,"central.root, central.init and central.doctor resolve, initialise and inspect the selected root.",The root contains Control and Work with structured health diagnostics. Repeated initialisation preserves existing authored material.,source-inspected; Source and test definitions inspected; these tests were not executed in this documentation pass. Desktop and owner-machine acceptance is not established here.,agent-inference,../github-recovery-mirror/mirror/Central/issues/2.json;../github-recovery-mirror/mirror/Central/issues/19.json,ctrl/src/root.rs;ctrl/src/action.rs,ctrl/tests/cli_contract.rs;ctrl/tests/product_acceptance.rs,central.html#q1/entry,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""central.doctor"", ""central.init"", ""central.root""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/2.json"", ""../github-recovery-mirror/mirror/Central/issues/19.json"", ""central:74258b3"", ""central:d357e94"", ""reconcile:central-pr-132"", ""cradle:Central:w2-w4:PR-133""], ""code_basis"": {""ctrl/src/root.rs"": ""eb209d6ba1feef679047dd687e395089df63611b119d11e0380e9a52882f62d4"", ""ctrl/src/action.rs"": ""8956891ff55e96514266ca3ad00dbf80a0902f37e0d5a1fe18dadfe59cb6ca1b""}}, ""last_reconciled_at"": ""2026-09-09T15:11:26.113026+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""action.list""]",cap.central.action-discovery,capability,,,,[],A person or agent needs to discover what this installed Central can actually do before choosing a command.,ctrl capabilities and action.list expose the native Action registry; the guided picker helps select an operation and its inputs.,"Callers receive named operations, input definitions, mutation classes and capability requirements. The same canonical operation can be selected through different surfaces.",source-inspected; Source and test definitions inspected; these tests were not executed in this documentation pass. Desktop and owner-machine acceptance is not established here.,agent-inference,../github-recovery-mirror/mirror/Central/issues/3.json;../github-recovery-mirror/mirror/Central/issues/7.json;../github-recovery-mirror/mirror/Central/issues/114.json,ctrl/src/action.rs;ctrl/src/picker.rs;ctrl/src/cli.rs;ctrl/src/result.rs,ctrl/tests/cli_doorway.rs;ctrl/tests/picker.rs,central.html#q3/interaction,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""action.list""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-11"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/3.json"", ""../github-recovery-mirror/mirror/Central/issues/7.json"", ""../github-recovery-mirror/mirror/Central/issues/114.json"", ""central:74258b3"", ""central:d357e94"", ""EpiLogos/Central#127 (W10 V2: agent-set/world persistence Actions + attribution seam; cli/now/agent-profile carriers moved — code bases re-reviewed at this revision)"", ""reconcile:central-pr-132"", ""cradle:Central:w2-w4:PR-133"", ""EpiLogos/Central#148"", ""EpiLogos/Central#149""], ""code_basis"": {""ctrl/src/action.rs"": ""8956891ff55e96514266ca3ad00dbf80a0902f37e0d5a1fe18dadfe59cb6ca1b"", ""ctrl/src/picker.rs"": ""b1c04622a2118b28763d9e9c5a747a8b2523d943a741ebbcf868ec5686af8665"", ""ctrl/src/cli.rs"": ""3c972c96e911eb2269272a2ca0edb27a824552ba4e902a3cb91cce11fac67159"", ""ctrl/src/result.rs"": ""38dfe29bf586fe3a62a5d3b4fbb8df1c5e03954053d32f05a61d775417d19d6f""}}, ""last_reconciled_at"": ""2026-09-11T03:25:32.748696+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""work.list"",""work.open"",""work.reveal"",""work.search""]",cap.central.work-entry,capability,,,,[],A person wants to move from a project name to the actual working directory without maintaining a duplicate project catalogue.,work.list and work.search discover ordinary Work entries; work.open and work.reveal invoke the native opening or revealing Port.,The result identifies the selected filesystem project and native provider outcome. Opening and revealing depend on an available native Connector.,source-inspected; Selected native suites passed 2026-09-06: work_entry. Other referenced tests were not rerun; physical desktop and owner-machine effects remain outside this selection.,agent-inference,../github-recovery-mirror/mirror/Central/issues/6.json;../github-recovery-mirror/mirror/Central/issues/14.json;../github-recovery-mirror/mirror/Central/issues/15.json,ctrl/src/action.rs,ctrl/tests/work_entry.rs,central.html#q1/entry,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""work.list"", ""work.open"", ""work.reveal"", ""work.search""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/6.json"", ""../github-recovery-mirror/mirror/Central/issues/14.json"", ""../github-recovery-mirror/mirror/Central/issues/15.json"", ""central:74258b3"", ""central:d357e94"", ""reconcile:central-pr-132"", ""cradle:Central:w2-w4:PR-133""], ""code_basis"": {""ctrl/src/action.rs"": ""8956891ff55e96514266ca3ad00dbf80a0902f37e0d5a1fe18dadfe59cb6ca1b""}}, ""last_reconciled_at"": ""2026-09-09T15:11:26.113026+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""control.open"",""control.search""]",cap.central.control-reading,capability,,,,[],"People and agents need to consult durable preferences, collaboration guidance and machine declarations where they are authored.",control.open selects a Control area; control.search retrieves matching eligible source through the Control read model.,"Results point back to ordinary authored files. Retrieval honours excluded subtrees, so a broad search can remain useful without exposing every personal file.",source-inspected; Selected native suites passed 2026-09-06: control_source. Other referenced tests were not rerun; physical desktop and owner-machine effects remain outside this selection.,agent-inference,../github-recovery-mirror/mirror/Central/issues/5.json;../github-recovery-mirror/mirror/Central/issues/12.json,ctrl/src/action.rs;ctrl/src/control.rs,ctrl/tests/control_source.rs;ctrl/tests/product_acceptance.rs,central.html#q1/entry,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""control.open"", ""control.search""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/5.json"", ""../github-recovery-mirror/mirror/Central/issues/12.json"", ""central:74258b3"", ""central:d357e94"", ""reconcile:central-pr-132"", ""cradle:Central:w2-w4:PR-133""], ""code_basis"": {""ctrl/src/action.rs"": ""8956891ff55e96514266ca3ad00dbf80a0902f37e0d5a1fe18dadfe59cb6ca1b"", ""ctrl/src/control.rs"": ""8434c710179f59f9d8dee7832f4848cf238ed90b30b096f75df0e9506b1d30bb""}}, ""last_reconciled_at"": ""2026-09-09T15:11:26.113026+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""machine.declaration""]",cap.central.machine-declaration,capability,,,,[],A person needs to state the environment they rely on so it can be inspected and recovered later.,machine.declaration reads a versioned machine-role source; machine.inspect asks available providers for the observed environment.,"The declaration records desired capabilities, packages, configuration and services; inspection supplies current observations for comparison. Editing the authored declaration changes the next reading directly.",source-inspected; Source and test definitions inspected; these tests were not executed in this documentation pass. Desktop and owner-machine acceptance is not established here.,agent-inference,../github-recovery-mirror/mirror/Central/issues/8.json;../github-recovery-mirror/mirror/Central/issues/13.json,ctrl/src/machine.rs,ctrl/tests/machine_declaration.rs;ctrl/tests/machine_plan.rs,central.html#q1/environment,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""machine.declaration""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/8.json"", ""../github-recovery-mirror/mirror/Central/issues/13.json"", ""central:74258b3"", ""central:d357e94"", ""reconcile:central-pr-132""], ""code_basis"": {""ctrl/src/machine.rs"": ""0962157ecb5143e643e30b0c9f95d09ac87adcf47899a8471537162f9ed23db4""}}, ""last_reconciled_at"": ""2026-09-08T11:52:07.000112+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""machine.account"",""machine.apply"",""machine.inspect"",""machine.plan"",""machine.verify"",""machine.adopt-current""]",cap.central.machine-reconciliation,capability,,,,[],A person needs to see what is missing and apply supported changes with a clear account of the result.,machine.plan compares desired and observed state; machine.apply delegates selected changes through Ports; machine.verify re-inspects the result.,"A structured plan distinguishes satisfied, changeable and unsupported requirements. Application reports complete, partial or failed outcomes and verification mismatches.",source-inspected; Source inspected; controller tests include fixture providers and were not run. Real workstation/server provider acceptance remains a separate physical gate in issues 16 and 17.,agent-inference,../github-recovery-mirror/mirror/Central/issues/9.json;../github-recovery-mirror/mirror/Central/issues/10.json;../github-recovery-mirror/mirror/Central/issues/16.json;../github-recovery-mirror/mirror/Central/issues/17.json,ctrl/src/machine.rs,ctrl/tests/machine_plan.rs;ctrl/tests/machine_reconciliation.rs,central.html#q1/environment,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""machine.account"", ""machine.apply"", ""machine.inspect"", ""machine.plan"", ""machine.verify"", ""machine.adopt-current""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/9.json"", ""../github-recovery-mirror/mirror/Central/issues/10.json"", ""../github-recovery-mirror/mirror/Central/issues/16.json"", ""../github-recovery-mirror/mirror/Central/issues/17.json"", ""central:6167493"", ""reconcile:central-pr-132""], ""code_basis"": {""ctrl/src/machine.rs"": ""0962157ecb5143e643e30b0c9f95d09ac87adcf47899a8471537162f9ed23db4""}}, ""last_reconciled_at"": ""2026-09-08T11:52:07.000112+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""central.recover"",""central.recovery.plan""]",cap.central.machine-recovery,capability,,,,[],"After a machine change or loss, a person needs a repeatable route back to their declared tools and configuration.","Recovery planning reads the role recovery declaration, previews synchronisation and environment reconciliation, then recovery delegates through providers and verifies.","The recovery report retains per-stage results and remaining differences. Recovery depends on the configured source, synchronisation and environment providers.",source-inspected; Source inspected; recovery controller tests include provider fixtures and were not run. Issue 21 records hosted provider proof; named owner-machine acceptance requires its own evidence.,agent-inference,../github-recovery-mirror/mirror/Central/issues/21.json;../github-recovery-mirror/mirror/Central/issues/16.json;../github-recovery-mirror/mirror/Central/issues/17.json,ctrl/src/recovery.rs,ctrl/tests/recovery.rs,central.html#q2/restore,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""central.recover"", ""central.recovery.plan""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/21.json"", ""../github-recovery-mirror/mirror/Central/issues/16.json"", ""../github-recovery-mirror/mirror/Central/issues/17.json"", ""reconcile:central-pr-132""], ""code_basis"": {""ctrl/src/recovery.rs"": ""e0433ff26dedfcf0b15045a1be64a09b5f0f46934055e8d20ad7edbdc3b193ec""}}, ""last_reconciled_at"": ""2026-09-08T11:52:07.000112+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""central.recognize"",""projectcentral.adopt"",""projectcentral.adopt.preview"",""projectcentral.doctor"",""projectcentral.init"",""projectcentral.inspect"",""projectcentral.migrate"",""projectcentral.migrate.preview""]",cap.central.projectcentral-lifecycle,capability,,,,[],A project needs stable source relationships and places for human ground and collaborative material as it develops.,"ProjectCentral inspect, init, adopt and migrate operations establish identity and selected source bindings with previews and provenance.",An ordinary project gains the ProjectCentral filesystem convention and root registration. Existing compatible sources can be adopted in place or explicitly migrated with retained history.,source-inspected; Source and test definitions inspected; these tests were not executed in this documentation pass. Desktop and owner-machine acceptance is not established here.,agent-inference,../github-recovery-mirror/mirror/Central/issues/65.json;../github-recovery-mirror/mirror/Central/issues/66.json;../github-recovery-mirror/mirror/Central/issues/67.json,ctrl/src/projectcentral.rs;ctrl/src/projectcentral_ops.rs,ctrl/src/projectcentral_ops.rs,central.html#q2/starting,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""central.recognize"", ""projectcentral.adopt"", ""projectcentral.adopt.preview"", ""projectcentral.doctor"", ""projectcentral.init"", ""projectcentral.inspect"", ""projectcentral.migrate"", ""projectcentral.migrate.preview""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/65.json"", ""../github-recovery-mirror/mirror/Central/issues/66.json"", ""../github-recovery-mirror/mirror/Central/issues/67.json"", ""reconcile:central-pr-132""], ""code_basis"": {""ctrl/src/projectcentral.rs"": ""18bfe9bf4aebb435b71b020f99224e9abdf8bc71155265dd0fe90466bce4c88c"", ""ctrl/src/projectcentral_ops.rs"": ""6452207a8a1279f6fbf9bb02462d2e3af060bbce8e2878d17abb83f136eeef53""}}, ""last_reconciled_at"": ""2026-09-08T11:53:39.350344+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""projectcentral.ground.apply"",""projectcentral.ground.inspect"",""projectcentral.ground.plan""]",cap.central.authored-ground,capability,,,,[],"A person wants existing vision, UX and design decisions available to collaborators without rewriting every source.","projectcentral.ground.inspect and plan discover candidates and propose treatments; apply records an explicitly accepted provenance, standing and role relation.",The recognised source becomes addressable as project ground while retaining its actual path and bytes. The current planner recommends source treatment; coherent intent recovery and authoring still require a human/agent workflow.,source-inspected; Selected native suites passed 2026-09-06: projectcentral_ground_actions. Other referenced tests were not rerun; physical desktop and owner-machine effects remain outside this selection.,agent-inference,../github-recovery-mirror/mirror/Central/issues/70.json;../github-recovery-mirror/mirror/Central/issues/104.json,ctrl/src/projectcentral_ground.rs,ctrl/tests/projectcentral_ground_actions.rs;ctrl/tests/projectcentral_ground_portable_real.rs,central.html#q1/ground,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""projectcentral.ground.apply"", ""projectcentral.ground.inspect"", ""projectcentral.ground.plan""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/70.json"", ""../github-recovery-mirror/mirror/Central/issues/104.json"", ""reconcile:central-pr-132""], ""code_basis"": {""ctrl/src/projectcentral_ground.rs"": ""acb84b452b644b0a9efd074f4937e15d9dd1abb122cce63a9b815f6d1f7f3071""}}, ""last_reconciled_at"": ""2026-09-08T11:52:07.000112+00:00""}",
central,product:central,product:central:ProjectCentral/user/capability-matrix.csv,product:central:ProjectCentral/user/capability-matrix.json,5206de5cca0fc214777ed09a466b3e4361a109069d8e33cae30e71c187e21615,bdf4aa9462db5c3745f353ea9b69e6ac765a4873984f87a8a66229531e99ca54,central,oi central action run <native-command-id> <input-json>,"[""central.world"",""central.world.project""]",cap.central.world-map,capability,,,,[],"A person needs to locate work, current threads and source areas, including places whose structure is incomplete.","central.world and central.world.project read Control, projects, source relations, Flow, NOW and related wiki-space state.","A structured map centres on the root or one project and reports missing, partial and faulty areas alongside the available material. It supplies a navigable consumer read model.",source-inspected; Selected native suites passed 2026-09-06: world_map. Other referenced tests were not rerun; physical desktop and owner-machine effects remain outside this selection.,agent-inference,../github-recovery-mirror/mirror/Central/issues/51.json;../github-recovery-mirror/mirror/Central/issues/65.json;../github-recovery-mirror/mirror/Central/issues/76.json;../github-recovery-mirror/mirror/Central/issues/93.json,ctrl/src/world_map.rs,ctrl/tests/world_map.rs,central.html#q1/entry,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""c305f22c02710fb8e246eac3ccd50651fa12f22d20da8c42c2c126e60530ec66"", ""cli_commands"": [""central.world"", ""central.world.project""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The listed native Action identities are invocable through ctrl action run and discoverable through ctrl action list.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/Central/issues/51.json"", ""../github-recovery-mirror/mirror/Central/issues/65.json"", ""../github-recovery-mirror/mirror/Central/issues/76.json"", ""../github-recovery-mirror/mirror/Central/issues/93.json"", ""EpiLogos/Central#126 (W10 V1: central.pasu/v1 identity grammar; world-map/source-change/agent-profile carriers moved — code bases re-reviewed at this revision)"", ""reconcile:central-pr-132""], ""code_basis"": {""ctrl/src/world_map.rs"": ""f3427aa7efc243249bbf370f2cbf7d47c54de046a10d8b50a7d193345cd502ff""}}, ""last_reconciled_at"": ""2026-09-08T11:52:07.000112+00:00""}",
